iter	Passed	Remaining
723	4037	1539
724	4042	1533
725	4047	1527
726	4052	1521
727	4058	1516
728	4062	1510
729	4068	1504
730	4072	1498
731	4078	1493
732	4083	1487
733	4088	1481
734	4093	1475
735	4098	1470
736	4103	1464
737	4108	1458
738	4113	1452
739	4118	1447
740	4122	1441
741	4128	1435
742	4133	1429
743	4138	1424
744	4144	1418
745	4149	1412
746	4154	1406
747	4159	1401
748	4164	1395
749	4169	1389
750	4175	1384
751	4180	1378
752	4185	1372
753	4190	1367
754	4196	1361
755	4202	1356
756	4207	1350
757	4212	1345
758	4217	1339
759	4223	1333
760	4228	1328
761	4233	1322
762	4239	1316
763	4243	1310
764	4248	1305
765	4253	1299
766	4257	1293
767	4263	1287
768	4268	1282
769	4273	1276
770	4278	1270
771	4283	1264
772	4288	1259
773	4293	1253
774	4298	1248
775	4304	1242
776	4309	1236
777	4314	1231
778	4319	1225
779	4324	1219
780	4329	1214
781	4334	1208
782	4340	1202
783	4344	1196
784	4349	1191
785	4354	1185
786	4359	1179
787	4364	1174
788	4369	1168
789	4375	1162
790	4380	1157
791	4385	1151
792	4390	1146
793	4396	1140
794	4401	1134
795	4407	1129
796	4412	1123
797	4418	1118
798	4423	1112
799	4428	1107
800	4433	1101
801	4439	1095
802	4444	1090
803	4449	1084
804	4454	1078
805	4459	1073
806	4464	1067
807	4469	1061
808	4474	1056
809	4479	1050
810	4484	1045
811	4489	1039
812	4494	1033
813	4499	1028
814	4504	1022
815	4510	1016
816	4514	1011
817	4520	1005
818	4525	1000
819	4529	994
820	4535	988
821	4540	983
822	4545	977
823	4550	971
824	4555	966
825	4561	960
826	4566	955
827	4572	949
828	4578	944
829	4583	938
830	4588	933
831	4594	927
832	4599	922
833	4605	916
834	4610	911
835	4615	905
836	4621	900
837	4626	894
838	4631	888
839	4636	883
840	4641	877
841	4646	871
842	4652	866
843	4657	860
844	4662	855
845	4667	849
846	4672	843
847	4677	838
848	4682	832
849	4687	827
850	4693	821
851	4698	816
852	4704	810
853	4709	805
854	4714	799
855	4719	793
856	4724	788
857	4730	782
858	4735	777
859	4740	771
860	4746	766
861	4752	760
862	4758	755
863	4763	749
864	4769	744
865	4775	738
866	4781	733
867	4787	727
868	4792	722
869	4798	716
870	4803	711
871	4809	706
872	4815	700
873	4821	695
874	4827	689
875	4834	684
876	4840	678
877	4846	673
878	4852	667
879	4858	662
880	4864	657
881	4869	651
882	4875	646
883	4881	640
884	4887	635
885	4892	629
886	4899	624
887	4904	618
888	4911	613
889	4916	607
890	4922	602
891	4928	596
892	4933	591
893	4939	585
894	4945	580
895	4950	574
896	4956	569
897	4961	563
898	4967	558
899	4973	552
900	4978	547
901	4984	541
902	4990	536
903	4995	530
904	5002	525
905	5008	519
906	5014	514
907	5020	508
908	5025	503
909	5031	497
910	5036	492
911	5042	486
912	5048	481
913	5053	475
914	5059	469
915	5064	464
916	5070	458
917	5075	453
918	5080	447
919	5085	442
920	5090	436
921	5096	431
922	5101	425
923	5107	420
924	5112	414
925	5117	408
926	5123	403
927	5129	397
928	5134	392
929	5139	386
930	5145	381
931	5150	375
932	5155	370
933	5160	364
934	5166	359
935	5171	353
936	5177	348
937	5182	342
938	5187	337
939	5193	331
940	5199	326
941	5204	320
942	5210	314
943	5215	309
944	5221	303
945	5227	298
946	5232	292
947	5238	287
948	5243	281
949	5249	276
950	5255	270
951	5260	265
952	5266	259
953	5271	254
954	5278	248
955	5283	243
956	5290	237
957	5295	232
958	5301	226
959	5306	221
960	5311	215
961	5316	210
962	5321	204
963	5327	198
964	5331	193
965	5336	187
966	5342	182
967	5347	176
968	5352	171
969	5358	165
970	5363	160
971	5368	154
972	5374	149
973	5379	143
974	5384	138
975	5390	132
976	5396	127
977	5401	121
978	5406	115
979	5412	110
980	5417	104
981	5422	99
982	5428	93
983	5433	88
984	5438	82
985	5444	77
986	5449	71
987	5454	66
988	5459	60
989	5465	55
990	5471	49
991	5476	44
992	5481	38
993	5487	33
994	5492	27
995	5497	22
996	5503	16
997	5508	11
998	5513	5
999	5519	0
